City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,julio de castilhos,-29.2269,-53.6817,59.49,96,77,6.17,BR,1690197291
151,palmer,42.1584,-72.3287,71.38,87,0,0.0,US,1690197291
152,nova vicosa,-17.8919,-39.3719,72.34,80,6,8.86,BR,1690197291
153,klyuchi,52.2667,79.1667,94.33,16,68,16.96,RU,1690197291
154,praia da vitoria,38.7333,-27.0667,79.05,69,40,6.26,PT,1690197292
155,palmas,-10.2128,-48.3603,80.47,44,0,20.71,BR,1690197224
156,talnakh,69.4865,88.3972,70.21,48,100,7.4,RU,1690197292
157,midvagur,62.0511,-7.1939,49.03,76,75,8.05,FO,1690197292
158,mili,6.0815,171.735,82.9,79,100,15.77,MH,1690197292
159,an nuhud,12.7,28.4333,97.09,28,19,13.06,SD,1690197292
160,goure,13.9835,10.2704,91.44,39,61,6.51,NE,1690197292
161,leh,34.1667,77.5833,72.41,30,74,7.67,IN,1690197292
162,hammerfest,70.6634,23.6821,55.85,71,40,14.97,NO,1690197293
163,mongo,12.1844,18.693,92.28,46,41,4.0,TD,1690197293
164,morehead city,34.7229,-76.726,76.01,91,75,3.0,US,1690197293
165,blackmans bay,-43.0167,147.3167,51.93,75,94,8.61,AU,1690197293
166,seaside,36.6111,-121.8516,57.36,92,100,5.75,US,1690197293
167,shakawe,-18.3667,21.85,86.38,11,18,5.21,BW,1690197293
168,tadmur,34.5608,38.2805,103.05,12,0,19.17,SY,1690197293
169,sept-iles,50.2001,-66.3821,64.4,99,75,1.14,CA,1690197293
170,nouadhibou,20.931,-17.0347,82.38,54,14,20.71,MR,1690197293
171,marsabit,2.3284,37.9899,77.61,41,56,16.98,KE,1690197293
172,kingston,17.997,-76.7936,81.55,80,20,5.75,JM,1690197075
173,lagoa,39.05,-27.9833,72.19,84,100,9.19,PT,1690197294
174,isafjordur,66.0755,-23.124,51.84,93,100,4.61,IS,1690197294
175,atafu village,-8.5421,-172.5159,83.95,73,9,16.64,TK,1690197294
176,choibalsan,48.0667,114.5,64.44,79,81,12.15,MN,1690197294
177,komarichi,52.4151,34.7905,73.02,48,89,13.56,RU,1690197294
178,happy valley-goose bay,53.3168,-60.3315,68.31,83,40,5.75,CA,1690197294
179,mingguang,32.7802,117.9638,85.46,72,50,7.29,CN,1690197294
180,gaiman,-43.2897,-65.4929,38.7,67,100,10.45,AR,1690197294
181,mugia,43.1041,-9.2179,65.91,76,72,8.19,ES,1690197294
182,sainte-adresse,49.5089,0.0845,63.66,94,100,10.36,FR,1690197294
183,lincoln city,44.9582,-124.0179,59.97,94,46,3.0,US,1690197295
184,utrik,11.2278,169.8474,83.1,74,43,20.07,MH,1690197295
185,magdagachi,53.45,125.8,62.37,98,100,4.56,RU,1690197295
186,la sarre,48.8002,-79.1996,58.82,99,99,4.72,CA,1690197295
187,colonia,50.9333,6.95,74.05,65,20,5.75,DE,1690197295
